path,area,tipo,descripcion,estado,feature_relacionada,evidencia_clave,riesgo,recomendacion
README.md,docs,doc,"Readme raiz del proyecto Qora","documentacion",overview,"README.md:11 declara Phase B7","Desfasado: codigo va por B10","Actualizar fase declarada"
AGENTS.md,docs,doc,"Guia de agentes/tooling de desarrollo IA","documentacion",tooling-ia,"AGENTS.md aclara que skills no son features","","Mantener separado del producto"
Dockerfile,config,config,"Build multi-stage: node compila frontend, python sirve uvicorn","config",deployment,"Dockerfile multi-stage node:22 + python:3.11-slim","",""
docker-compose.yml,config,config,"Orquestacion single-container puerto 8000 + volumen SQLite","config",deployment,"fuerza DATABASE_URL y QORA_SKIP_BACKUP_CHECK=1","",""
.dockerignore,config,config,"Exclusiones de contexto de build Docker","config",deployment,".dockerignore","",""
.gitignore,config,config,"Exclusiones de git (node_modules, .env, Plugin/, *.db)","config",repo,".gitignore lista Plugin/","",""
.env.example,config,config,"Plantilla de variables de entorno (solo nombres)","config",config,"nombres: ELEVENLABS_*, OPENAI_API_KEY, QORA_API_KEY, QUINTANA_AIRTABLE_API_KEY","",""
Qora,config,script,"Launcher local de dev: uvicorn --reload + ngrok + vite + alembic","activo pero complejo",dev-tooling,"Qora:256 exige ngrok; :280 corre migrate","Acopla dev local a tunel ngrok obligatorio",""
docker/entrypoint.sh,config,script,"Entrypoint runtime: corre migrate.py y exec uvicorn","activo",deployment,"docker/entrypoint.sh:15","",""
.engram/config.json,config,config,"Config de memoria persistente Engram (tooling)","config",tooling-ia,".engram/config.json project_name Qora","",""
backend/README.md,docs,doc,"Readme del backend","documentacion",overview,"backend/README.md","",""
backend/pyproject.toml,config,config,"Manifiesto Python (deps fastapi/sqlalchemy/openai/pyairtable), hatchling+uv","config",build,"backend/pyproject.toml","",""
backend/uv.lock,config,config,"Lockfile de dependencias uv","generado/vendor/no auditar salvo referencia",build,"backend/uv.lock","","No editar manualmente"
backend/pytest.ini,config,config,"Config pytest (asyncio_mode=auto, testpaths=tests)","config",tests,"backend/pytest.ini","",""
backend/alembic.ini,config,config,"Config Alembic (sqlalchemy.url SQLite por defecto)","config",migraciones,"backend/alembic.ini:14","",""
backend/qora_cli.py,backend-api,script,"CLI Click de gestion (create-client, list-clients, etc.)","activo",multi-tenant,"backend/qora_cli.py click CLI","",""
backend/alembic/env.py,modelo-de-datos,migration,"Entorno Alembic async, render_as_batch=True","activo pero complejo",migraciones,"env.py importa tenants/leads/calls/scheduler NO jobs","D1: autogenerate generaria DROP background_jobs","Importar app.jobs.models en env.py"
backend/alembic/script.py.mako,modelo-de-datos,config,"Plantilla de generacion de revisiones Alembic","config",migraciones,"script.py.mako","",""
backend/alembic/versions/20241201_0001_baseline.py,modelo-de-datos,migration,"Baseline: crea 10 tablas (todas menos background_jobs)","activo",migraciones,"baseline.py down_revision=None","Incluye broker_name e indices ausentes del modelo (drift)",""
backend/alembic/versions/20260624_0002_add_background_jobs.py,modelo-de-datos,migration,"Crea tabla background_jobs + 2 indices","activo",jobs,"0002_add_background_jobs.py","",""
backend/alembic/versions/20260625_0003_add_transcript_finalization_fields.py,modelo-de-datos,migration,"Agrega transcript_finalized_at y transcript_turn_count a call_sessions","activo",calls,"0003 via batch_alter_table","",""
